Subject_ID,Age,Sex,Education
xxxxxxxx202,23,Male,16
xxxxxxxx203,25,Male,16
xxxxxxxx204,24,Male,16
xxxxxxxx205,23,Male,16
xxxxxxxx206,26,Male,16.5
xxxxxxxx207,22,Male,15.5
xxxxxxxx208,23,Male,16.5
xxxxxxxx209,28,Male,17.5
xxxxxxxx210,22,Male,16.5
xxxxxxxx211,23,Male,16.5
xxxxxxxx212,22,Male,16.5
xxxxxxxx213,19,Female,13.5
xxxxxxxx214,20,Female,13.5
xxxxxxxx215,20,Female,13.5
xxxxxxxx216,20,Female,13.5
xxxxxxxx217,20,Female,13.5
xxxxxxxx218,20,Female,13.5
xxxxxxxx219,20,Female,13.5
xxxxxxxx220,20,Male,13.5
xxxxxxxx221,19,Female,13.5
xxxxxxxx222,21,Male,13.5
xxxxxxxx223,21,Male,13.5
xxxxxxxx224,23,Male,16.5
xxxxxxxx225,24,Male,16.5
xxxxxxxx226,19,Female,12.5
xxxxxxxx227,23,Male,16.5
xxxxxxxx228,22,Female,16.5
xxxxxxxx229,23,Female,16.5
xxxxxxxx230,23,Female,16.5
xxxxxxxx231,25,Female,16.5
xxxxxxxx232,22,Female,16.5
xxxxxxxx233,23,Female,16.5
xxxxxxxx234,23,Female,16.5
xxxxxxxx235,23,Female,16.5
xxxxxxxx236,23,Female,16.5
xxxxxxxx237,23,Female,16.5
xxxxxxxx238,23,Male,16.5
xxxxxxxx239,24,Male,16.5
xxxxxxxx240,23,Female,16.5
xxxxxxxx241,22,Female,16.5
xxxxxxxx242,23,Female,16.5
xxxxxxxx243,23,Female,16.5
xxxxxxxx244,23,Female,16.5
xxxxxxxx245,23,Female,16.5
xxxxxxxx246,25,Female,16.5
xxxxxxxx247,25,Female,16.5
xxxxxxxx248,24,Female,16.5
xxxxxxxx249,22,Female,16.5
xxxxxxxx250,23,Male,16.5
xxxxxxxx251,25,Female,16.5
xxxxxxxx252,22,Female,16.5
