Subject_ID,Task,Valid_Trial_Count,Correct_Trial_Count,Overall_Accuracy,Total_Hesitation_Duration
xxxxxxxx001,Dots,12,12,1,3.442359229
xxxxxxxx001,Hanzi,12,12,1,2.864046431
xxxxxxxx001,STT,12,12,1,6.473974887
xxxxxxxx002,Dots,12,12,1,2.927107049
xxxxxxxx002,Hanzi,12,12,1,2.417650155
xxxxxxxx002,STT,12,12,1,6.81573856
xxxxxxxx003,Dots,12,12,1,3.757145932
xxxxxxxx003,Hanzi,12,12,1,4.666565752
xxxxxxxx003,STT,12,12,1,4.61819937
xxxxxxxx004,Dots,12,12,1,6.861207459
xxxxxxxx004,Hanzi,12,12,1,7.735744819
xxxxxxxx004,STT,12,12,1,10.19563765
xxxxxxxx005,Dots,12,12,1,3.026765724
xxxxxxxx005,Hanzi,12,12,1,2.388620919
xxxxxxxx005,STT,12,12,1,6.278422061
xxxxxxxx006,Dots,12,12,1,3.379516533
xxxxxxxx006,Hanzi,12,12,1,2.845357386
xxxxxxxx006,STT,12,12,1,4.61089854
xxxxxxxx007,Dots,12,12,1,3.813146915
xxxxxxxx007,Hanzi,12,12,1,3.882274032
xxxxxxxx007,STT,12,12,1,9.257432159
xxxxxxxx008,Dots,12,12,1,4.029152882
xxxxxxxx008,Hanzi,12,10,0.833333333,2.764894793
xxxxxxxx008,STT,12,12,1,4.70931277
xxxxxxxx009,Dots,12,12,1,10.33417744
xxxxxxxx009,Hanzi,12,12,1,5.960174161
xxxxxxxx009,STT,12,12,1,6.521665942
xxxxxxxx010,Dots,12,12,1,1.962216103
xxxxxxxx010,Hanzi,12,12,1,1.736827064
xxxxxxxx010,STT,12,10,0.833333333,4.449054424
xxxxxxxx011,Dots,12,12,1,2.274401583
xxxxxxxx011,Hanzi,12,12,1,1.693591208
xxxxxxxx011,STT,12,12,1,5.133608841
xxxxxxxx012,Dots,12,12,1,4.432996921
xxxxxxxx012,Hanzi,12,12,1,4.045244522
xxxxxxxx012,STT,12,12,1,6.261530577
xxxxxxxx013,Dots,12,12,1,2.741448721
xxxxxxxx013,Hanzi,12,12,1,2.464124435
xxxxxxxx013,STT,12,12,1,3.18137702
xxxxxxxx014,Dots,12,12,1,4.180684155
xxxxxxxx014,Hanzi,12,12,1,3.281763134
xxxxxxxx014,STT,12,12,1,6.640934708
xxxxxxxx015,Dots,12,12,1,7.13803051
xxxxxxxx015,Hanzi,12,12,1,6.626953514
xxxxxxxx015,STT,12,12,1,7.952063049
xxxxxxxx016,Dots,12,12,1,4.042998541
xxxxxxxx016,Hanzi,12,12,1,3.523627778
xxxxxxxx016,STT,12,11,0.916666667,5.70486255
xxxxxxxx017,Dots,12,12,1,3.940369989
xxxxxxxx017,Hanzi,12,12,1,4.05821705
xxxxxxxx017,STT,12,12,1,4.391026571
xxxxxxxx018,Dots,12,12,1,2.472967296
xxxxxxxx018,Hanzi,12,12,1,2.500837873
xxxxxxxx018,STT,12,9,0.75,4.885388898
xxxxxxxx019,Dots,12,12,1,2.810301182
xxxxxxxx019,Hanzi,12,12,1,2.079266748
xxxxxxxx019,STT,12,12,1,4.143307906
xxxxxxxx020,Dots,12,12,1,4.872578271
xxxxxxxx020,Hanzi,12,12,1,3.020789083
xxxxxxxx020,STT,12,12,1,5.246473086
xxxxxxxx021,Dots,12,12,1,4.03131688
xxxxxxxx021,Hanzi,12,12,1,2.198549292
xxxxxxxx021,STT,12,12,1,4.721586448
xxxxxxxx022,Dots,12,12,1,2.293876135
xxxxxxxx022,Hanzi,12,12,1,2.402157702
xxxxxxxx022,STT,12,12,1,2.828024004
xxxxxxxx023,Dots,12,12,1,3.299655026
xxxxxxxx023,Hanzi,12,12,1,3.226169215
xxxxxxxx023,STT,12,12,1,4.741049359
xxxxxxxx024,Dots,12,12,1,3.239512375
xxxxxxxx024,Hanzi,12,12,1,3.819591547
xxxxxxxx024,STT,12,12,1,4.070935273
xxxxxxxx025,Dots,12,12,1,1.82884651
xxxxxxxx025,Hanzi,12,12,1,2.146328762
xxxxxxxx025,STT,12,12,1,3.96371661
xxxxxxxx026,Dots,12,12,1,4.173054859
xxxxxxxx026,Hanzi,12,12,1,2.356122041
xxxxxxxx026,STT,12,12,1,4.606666173
xxxxxxxx027,Dots,12,12,1,3.752425563
xxxxxxxx027,Hanzi,12,12,1,3.102563514
xxxxxxxx027,STT,12,12,1,4.823751692
xxxxxxxx028,Dots,12,12,1,3.374678363
xxxxxxxx028,Hanzi,12,12,1,5.53804269
xxxxxxxx028,STT,12,12,1,5.609947253
xxxxxxxx029,Dots,12,12,1,2.631861264
xxxxxxxx029,Hanzi,12,12,1,2.948597819
xxxxxxxx029,STT,12,12,1,4.326700475
xxxxxxxx030,Dots,12,10,0.833333333,4.230054326
xxxxxxxx030,Hanzi,12,12,1,2.823951678
xxxxxxxx030,STT,12,12,1,6.623257351
xxxxxxxx031,Dots,12,12,1,5.496177613
xxxxxxxx031,Hanzi,12,12,1,5.094198428
xxxxxxxx031,STT,12,12,1,5.608026908
xxxxxxxx032,Dots,12,12,1,5.883737773
xxxxxxxx032,Hanzi,12,11,0.916666667,3.751409047
xxxxxxxx032,STT,12,12,1,4.867403497
xxxxxxxx033,Dots,12,12,1,3.663367328
xxxxxxxx033,Hanzi,12,12,1,3.41820363
xxxxxxxx033,STT,12,12,1,6.529293144
xxxxxxxx034,Dots,12,12,1,2.149398535
xxxxxxxx034,Hanzi,12,12,1,1.916219929
xxxxxxxx034,STT,12,12,1,4.26121442
xxxxxxxx035,Dots,12,12,1,6.376694831
xxxxxxxx035,Hanzi,12,12,1,7.121715855
xxxxxxxx035,STT,12,12,1,6.624280282
xxxxxxxx036,Dots,12,12,1,4.413974269
xxxxxxxx036,Hanzi,12,12,1,4.294413473
xxxxxxxx036,STT,12,9,0.75,10.80097579
xxxxxxxx037,Dots,12,12,1,3.078996953
xxxxxxxx037,Hanzi,12,12,1,3.4000246
xxxxxxxx037,STT,12,12,1,7.201535636
xxxxxxxx038,Dots,12,12,1,5.935730199
xxxxxxxx038,Hanzi,12,10,0.833333333,3.004127512
xxxxxxxx038,STT,12,12,1,6.193044078
xxxxxxxx039,Dots,12,12,1,4.842083574
xxxxxxxx039,Hanzi,12,12,1,3.612314416
xxxxxxxx039,STT,12,12,1,7.81541894
xxxxxxxx040,Dots,12,12,1,2.891378255
xxxxxxxx040,Hanzi,12,10,0.833333333,2.627897276
xxxxxxxx040,STT,12,12,1,3.322247554
xxxxxxxx041,Dots,12,12,1,3.490998615
xxxxxxxx041,Hanzi,12,11,0.916666667,3.527131977
xxxxxxxx041,STT,12,12,1,4.888657822
xxxxxxxx042,Dots,12,12,1,3.943178039
xxxxxxxx042,Hanzi,12,11,0.916666667,2.378787698
xxxxxxxx042,STT,12,12,1,8.5788863
xxxxxxxx043,Dots,12,12,1,6.024425384
xxxxxxxx043,Hanzi,12,12,1,3.869149563
xxxxxxxx043,STT,12,12,1,7.161190697
xxxxxxxx044,Dots,12,12,1,2.654120166
xxxxxxxx044,Hanzi,12,12,1,2.9291703
xxxxxxxx044,STT,12,12,1,3.624349665
xxxxxxxx045,Dots,12,12,1,2.992911347
xxxxxxxx045,Hanzi,12,12,1,2.882480234
xxxxxxxx045,STT,12,12,1,4.817549219
xxxxxxxx046,Dots,12,12,1,4.232555818
xxxxxxxx046,Hanzi,12,12,1,3.03038239
xxxxxxxx046,STT,12,12,1,4.494288838
xxxxxxxx047,Dots,12,12,1,3.308175582
xxxxxxxx047,Hanzi,12,12,1,2.932560143
xxxxxxxx047,STT,12,12,1,5.390720303
xxxxxxxx048,Dots,12,12,1,2.678010885
xxxxxxxx048,Hanzi,12,12,1,2.048227212
xxxxxxxx048,STT,12,12,1,3.362062476
xxxxxxxx049,Dots,12,12,1,7.44069636
xxxxxxxx049,Hanzi,12,12,1,6.650392502
xxxxxxxx049,STT,12,12,1,9.604395982
xxxxxxxx050,Dots,12,12,1,4.063574903
xxxxxxxx050,Hanzi,12,12,1,3.33642112
xxxxxxxx050,STT,12,12,1,6.64740965
xxxxxxxx051,Dots,12,12,1,3.701947965
