Feature,English_Description,Model,N,Interaction_Coef,Interaction_PValue_Raw,Age_Main_PValue,Task_Main_PValue,Status,FDR_PValue,Significant_FDR,Significant_Raw
loudness_sma3_percentile20.0,Loudness-20th percentile [intensity],Trial-by-Trial,3786,-0.09753269784773506,0.00013426638066932814,0.06249675446081603,0.007060026992491234,ok,0.012083974260239532,True,True
loudness_sma3_stddevNorm,Loudness-coefficient of variation [intensity],Trial-by-Trial,3786,0.11364871825584395,0.0005754644576882927,0.026672175026504798,7.86749265482168e-06,ok,0.02589590059597317,True,True
mfcc1V_sma3nz_stddevNorm,MFCC coefficient 1-coefficient of variation [vocal tract feature],Trial-by-Trial,3786,0.099885295979449,0.0030983506980491768,0.0020382075300459383,0.05636853950635428,ok,0.09295052094147531,False,True
HNRdBACF_sma3nz_amean,Harmonics-to-noise ratio-mean [voice clarity],Trial-by-Trial,3786,-0.06469345963092343,0.0059177072991091866,0.5113386963714763,0.8504608579771352,ok,0.12970671207568596,False,True
Gap_Before,Hesitation duration (response latency),Trial-by-Trial,3786,0.0865292475787602,0.007548526986075697,0.00011201094498992012,6.79272067807639e-08,ok,0.12970671207568596,False,True
slopeV0-500_sma3nz_amean,slopeV0-500-mean,Trial-by-Trial,3786,-0.055187292871556014,0.00975222077635426,5.584334492733678e-06,1.2309351131878905e-06,ok,0.12970671207568596,False,True
mfcc1_sma3_stddevNorm,MFCC coefficient 1-coefficient of variation [vocal tract feature],Trial-by-Trial,3786,0.08568204269790654,0.011279458210454545,0.009012474804856372,0.5388226205928175,ok,0.12970671207568596,False,True
F3amplitudeLogRelF0_sma3nz_amean,F3-mean [timbre],Trial-by-Trial,3786,-0.0757337485087392,0.011529485517838754,0.0029514306839305954,0.0010518437979050595,ok,0.12970671207568596,False,True
loudness_sma3_pctlrange0-2,Loudness-percentile range [intensity],Trial-by-Trial,3786,0.05488984118802729,0.013606221110351362,0.0003284004650769439,8.29389219850802e-11,ok,0.13553413189516325,False,True
F1amplitudeLogRelF0_sma3nz_amean,F1-mean [mouth opening],Trial-by-Trial,3786,-0.07511350888504177,0.015059347988351473,0.0033943901261291867,0.07691266446191761,ok,0.13553413189516325,False,True
hammarbergIndexV_sma3nz_stddevNorm,hammarbergIndexV-coefficient of variation,Trial-by-Trial,3786,0.06873434947997886,0.023756341367492436,0.0002500904956225653,0.0027997183910278617,ok,0.19437006573402904,False,True
logRelF0-H1-A3_sma3nz_stddevNorm,logRelF0-H1-A3-coefficient of variation,Trial-by-Trial,3786,-0.08105756771225135,0.029924901907983664,0.0022185880640055097,0.45461279898324636,ok,0.2244367643098775,False,True
