Feature,English_Description,Model,N,Interaction_Coef,Interaction_PValue_Raw,Age_Main_PValue,Task_Main_PValue,Status,FDR_PValue,Significant_FDR,Significant_Raw
Gap_Before,Hesitation duration (response latency),Trial-by-Trial,3784,0.35191069215150284,1.90793149931478e-22,9.729770747483393e-09,3.4768279895394383e-51,ok,1.717138349383302e-20,True,True
spectralFlux_sma3_stddevNorm,Spectral flux-coefficient of variation [timbre change],Trial-by-Trial,3784,0.2197355194017857,3.0923664090705045e-13,0.8801881770828672,1.3192645732914366e-19,ok,1.391564884081727e-11,True,True
loudness_sma3_stddevNorm,Loudness-coefficient of variation [intensity],Trial-by-Trial,3784,0.2111079945029161,9.749850833928326e-10,1.1250563522049866e-05,1.2478282565058711e-34,ok,2.9249552501784978e-08,True,True
F3amplitudeLogRelF0_sma3nz_stddevNorm,F3-coefficient of variation [timbre],Trial-by-Trial,3784,-0.16361219394860665,1.8123649126146804e-07,7.950101453422353e-05,3.490502260320195e-20,ok,4.077821053383031e-06,True,True
HNRdBACF_sma3nz_amean,Harmonics-to-noise ratio-mean [voice clarity],Trial-by-Trial,3784,-0.11324345116878734,1.2317264506092907e-06,0.07445172342761497,1.5227834957064892e-05,ok,2.2171076110967235e-05,True,True
loudness_sma3_pctlrange0-2,Loudness-percentile range [intensity],Trial-by-Trial,3784,0.12587124396633967,4.589097956541218e-05,1.8194237840599963e-05,2.3303333610138824e-18,ok,0.0006883646934811826,True,True
spectralFluxV_sma3nz_stddevNorm,Spectral flux-coefficient of variation [timbre change],Trial-by-Trial,3784,0.1390117008482958,8.538492756308115e-05,0.027902569524327108,2.4390579304215166e-10,ok,0.001097806211525329,True,True
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0 semitone-coefficient of variation [pitch],Trial-by-Trial,3784,0.13785939630459731,9.773307470484006e-05,1.6111076704727493e-10,6.327074062182333e-16,ok,0.0010994970904294507,True,True
loudness_sma3_percentile20.0,Loudness-20th percentile [intensity],Trial-by-Trial,3784,-0.10268683046216925,0.0002435568246414816,0.7671417857215644,1.3730209343606443e-07,ok,0.0024355682464148156,True,True
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0 semitone-percentile range [pitch],Trial-by-Trial,3784,0.1186340230838048,0.0002825419656683853,2.503914385631705e-18,1.0612134240977823e-15,ok,0.0025428776910154677,True,True
jitterLocal_sma3nz_amean,Jitter-mean [roughness],Trial-by-Trial,3784,0.12663884540157774,0.00043107265941963674,0.015370747059870425,0.0027045812311206944,ok,0.0035269581225243008,True,True
spectralFluxUV_sma3nz_amean,Spectral flux-mean [timbre change],Trial-by-Trial,3784,0.1347063302706084,0.000994042528894575,0.07510075725507621,6.297239155443722e-05,ok,0.007455318966709312,True,True
mfcc1_sma3_amean,MFCC coefficient 1-mean [vocal tract feature],Trial-by-Trial,3784,-0.08882552193110223,0.0012866298258454858,0.0316989834287493,3.4978356851160316e-07,ok,0.00848306821194764,True,True
mfcc1_sma3_stddevNorm,MFCC coefficient 1-coefficient of variation [vocal tract feature],Trial-by-Trial,3784,0.10287138413096764,0.0013195883885251884,2.1166574804299817e-05,5.498584198904331e-15,ok,0.00848306821194764,True,True
hammarbergIndexUV_sma3nz_amean,hammarbergIndexUV-mean,Trial-by-Trial,3784,0.11863431048177585,0.0017008099898483235,0.03844236552387722,4.3096287197332e-08,ok,0.010204859939089941,True,True
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0 semitone-standard deviation [pitch],Trial-by-Trial,3784,0.10188924031490626,0.003360267764668761,0.12256573229343135,0.0002981646239801902,ok,0.01880736222260547,True,True
