Feature,English_Description,Model,N,Interaction_Coef,Interaction_PValue_Raw,Age_Main_PValue,Task_Main_PValue,Status,FDR_PValue,Significant_FDR,Significant_Raw
Gap_Before,Hesitation duration (response latency),Utterance-level,316,0.35187967338486703,6.027440474095933e-15,4.8509487603286265e-05,6.297557518230928e-30,ok,5.424696426686339e-13,True,True
spectralFlux_sma3_stddevNorm,Spectral flux-coefficient of variation [timbre change],Utterance-level,316,0.2219700418330951,0.00019003065384036314,0.8981313268846098,4.9037616682612815e-06,ok,0.00855137942281634,True,True
loudness_sma3_stddevNorm,Loudness-coefficient of variation [intensity],Utterance-level,316,0.21242561425010018,0.0005492256092462828,3.308691449766773e-05,1.871936624308438e-11,ok,0.016476768277388486,True,True
F3amplitudeLogRelF0_sma3nz_stddevNorm,F3-coefficient of variation [timbre],Utterance-level,316,-0.16447768602579826,0.0013165639571185489,0.0008172590841901245,2.962037473367806e-08,ok,0.02962268903516735,True,True
jitterLocal_sma3nz_amean,Jitter-mean [roughness],Utterance-level,316,0.12791694022588618,0.005653073359109569,0.015114977783979104,0.018456937670298882,ok,0.08012097004230095,False,True
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0 semitone-coefficient of variation [pitch],Utterance-level,316,0.1392143182841263,0.00648486435892153,1.3310947477380738e-07,3.758957179435954e-08,ok,0.08012097004230095,False,True
spectralFluxUV_sma3nz_amean,Spectral flux-mean [timbre change],Utterance-level,316,0.1346235063240136,0.0068844981111865124,0.22525531989977962,0.0010486700769473621,ok,0.08012097004230095,False,True
hammarbergIndexUV_sma3nz_amean,hammarbergIndexUV-mean,Utterance-level,316,0.1190628720477366,0.008456527355358824,0.11591261597645412,5.718368730879202e-06,ok,0.08012097004230095,False,True
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0 semitone-standard deviation [pitch],Utterance-level,316,0.1049755106865064,0.008586004349049992,0.15499210752310572,0.0014994544159316122,ok,0.08012097004230095,False,True
logRelF0-H1-A3_sma3nz_stddevNorm,logRelF0-H1-A3-coefficient of variation,Utterance-level,316,0.09835169926879717,0.008902330004700105,0.9523361548793594,0.322980100356939,ok,0.08012097004230095,False,True
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0 semitone-percentile range [pitch],Utterance-level,316,0.12038649985138888,0.010529589808929134,1.0851497153778735e-11,4.417583799059276e-08,ok,0.08562541187375285,False,True
spectralFluxV_sma3nz_stddevNorm,Spectral flux-coefficient of variation [timbre change],Utterance-level,316,0.14059659868095548,0.011416721583167045,0.051098824341665953,6.291960252427021e-05,ok,0.08562541187375285,False,True
MeanUnvoicedSegmentLength,MeanUnvoicedSegmentLength,Utterance-level,316,0.10707885487218853,0.021887077255828544,0.6986170225044148,0.0011849733109319258,ok,0.13796651894837847,False,True
slopeUV0-500_sma3nz_amean,slopeUV0-500-mean,Utterance-level,316,0.08918171569286246,0.022883253921250766,0.09071871320059394,0.18404391211776067,ok,0.13796651894837847,False,True
