Feature,English_Description,Utterance_Interaction_Coef,Utterance_P_Raw,Utterance_P_FDR,Utterance_Significant_FDR,Utterance_Status,Trial_Interaction_Coef,Trial_P_Raw,Trial_P_FDR,Trial_Significant_FDR,Trial_Status,More_Sensitive_Model
Gap_Before,Hesitation duration (response latency),0.4062183563061743,9.870254679967688e-21,8.883229211970918e-19,True,ok,0.4061533939331335,2.1346010598794213e-20,1.9211409538914793e-18,True,ok,Utterance-level
loudness_sma3_stddevNorm,Loudness-coefficient of variation [intensity],0.3112736362192168,2.1398411781545616e-07,9.629285301695526e-06,True,ok,0.31063608650342434,1.8763025327174413e-13,8.443361397228485e-12,True,ok,Trial-by-Trial
spectralFlux_sma3_stddevNorm,Spectral flux-coefficient of variation [timbre change],0.2654725773540065,1.1722112544290308e-05,0.00035166337632870924,True,ok,0.26492322203393415,2.419742067670796e-10,5.937752061908591e-09,True,ok,Trial-by-Trial
F3amplitudeLogRelF0_sma3nz_stddevNorm,F3-coefficient of variation [timbre],-0.21945002106140235,2.3265445254149667e-05,0.0005234725182183675,True,ok,-0.21945708218229107,2.6390009164038185e-10,5.937752061908591e-09,True,ok,Trial-by-Trial
HNRdBACF_sma3nz_amean,Harmonics-to-noise ratio-mean [voice clarity],-0.17529657381021346,0.032260248028861425,0.11401205066122598,False,ok,-0.17452382229819519,3.103466748987388e-09,5.5862401481772984e-08,True,ok,Trial-by-Trial
loudness_sma3_percentile20.0,Loudness-20th percentile [intensity],-0.2043282451322897,0.021502253430849952,0.08413925255549982,False,ok,-0.20394650594906572,3.74930000284857e-09,5.623950004272855e-08,True,ok,Trial-by-Trial
loudness_sma3_pctlrange0-2,Loudness-percentile range [intensity],0.17434549645216763,0.03293681463546528,0.11401205066122598,False,ok,0.174462099328114,2.684951287216538e-07,3.4520802264212634e-06,True,ok,Trial-by-Trial
shimmerLocaldB_sma3nz_amean,Shimmer-mean [hoarseness],0.17071150941250685,0.00033707288514260515,0.0050560932771390775,True,ok,0.1700493556235504,1.6921031749041894e-06,1.8977295646691717e-05,True,ok,Trial-by-Trial
mfcc1_sma3_stddevNorm,MFCC coefficient 1-coefficient of variation [vocal tract feature],0.17773823203426653,0.002132921311003013,0.020013356790884063,True,ok,0.17859212813361527,1.8977295646691716e-06,1.8977295646691717e-05,True,ok,Trial-by-Trial
mfcc1_sma3_amean,MFCC coefficient 1-mean [vocal tract feature],-0.1275733873897347,0.03974290393297681,0.13247634644325604,False,ok,-0.1282179995307777,4.056538242686823e-06,3.650884418418141e-05,True,ok,Trial-by-Trial
mfcc1V_sma3nz_stddevNorm,MFCC coefficient 1-coefficient of variation [vocal tract feature],0.16667045396340463,0.005049187683944691,0.028401680722188887,True,ok,0.16704349788594505,5.750608837115179e-06,4.7050435940033284e-05,True,ok,Trial-by-Trial
