Feature,English_Description,Model,N,Interaction_Coef,Interaction_PValue_Raw,Age_Main_PValue,Task_Main_PValue,Status,FDR_PValue,Significant_FDR,Significant_Raw
Gap_Before,Hesitation duration (response latency),Utterance-level,316,0.4062183563061743,9.870254679967688e-21,0.027202093687013186,3.7425957322798426e-43,ok,8.883229211970918e-19,True,True
loudness_sma3_stddevNorm,Loudness-coefficient of variation [intensity],Utterance-level,316,0.3112736362192168,2.1398411781545616e-07,0.04352070576682743,1.0447488283698042e-18,ok,9.629285301695526e-06,True,True
spectralFlux_sma3_stddevNorm,Spectral flux-coefficient of variation [timbre change],Utterance-level,316,0.2654725773540065,1.1722112544290308e-05,0.3631277917191694,2.814505441679082e-06,ok,0.00035166337632870924,True,True
F3amplitudeLogRelF0_sma3nz_stddevNorm,F3-coefficient of variation [timbre],Utterance-level,316,-0.21945002106140235,2.3265445254149667e-05,0.04080307489475549,2.6538785915705223e-12,ok,0.0005234725182183675,True,True
hammarbergIndexUV_sma3nz_amean,hammarbergIndexUV-mean,Utterance-level,316,0.17576058889034907,7.55163554866635e-05,0.8486239195063014,5.938483863888154e-07,ok,0.001359294398759943,True,True
shimmerLocaldB_sma3nz_amean,Shimmer-mean [hoarseness],Utterance-level,316,0.17071150941250685,0.00033707288514260515,0.036465090868445175,0.5183369708088865,ok,0.0050560932771390775,True,True
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0 semitone-coefficient of variation [pitch],Utterance-level,316,0.1750146176815453,0.0006009905337773564,1.0922425465850422e-05,2.8228652485984394e-13,ok,0.007727021148566012,True,True
mfcc1_sma3_stddevNorm,MFCC coefficient 1-coefficient of variation [vocal tract feature],Utterance-level,316,0.17773823203426653,0.002132921311003013,0.03409059484223847,4.0669468690356885e-06,ok,0.020013356790884063,True,True
spectralFluxUV_sma3nz_amean,Spectral flux-mean [timbre change],Utterance-level,316,0.16005095437879527,0.002228202433930396,0.6058199893767893,0.0007782980102510326,ok,0.020013356790884063,True,True
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0 semitone-standard deviation [pitch],Utterance-level,316,0.11802620936507771,0.002402060197839195,0.22027553056426802,0.00023374840338446148,ok,0.020013356790884063,True,True
StddevVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,Utterance-level,316,0.12828462362368231,0.002446076941108052,0.7653110412454747,2.0456153108092195e-06,ok,0.020013356790884063,True,True
alphaRatioUV_sma3nz_amean,Alpha ratio-mean [energy distribution],Utterance-level,316,-0.12987807637370619,0.0030996449681944625,0.9106767988506621,1.5875866762947912e-06,ok,0.02302362046955065,True,True
F1amplitudeLogRelF0_sma3nz_amean,F1-mean [mouth opening],Utterance-level,316,-0.14278499362608238,0.0034983098772239196,0.012047073982678612,0.07156194653789492,ok,0.02302362046955065,True,True
slopeUV500-1500_sma3nz_amean,slopeUV500-1500-mean,Utterance-level,316,-0.13310195373890985,0.0037971382816380035,0.7338808747464878,3.098594162459787e-05,ok,0.02302362046955065,True,True
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0 semitone-percentile range [pitch],Utterance-level,316,0.13717717433369392,0.0038372700782584412,4.333455179741816e-10,9.477506203462627e-13,ok,0.02302362046955065,True,True
mfcc1V_sma3nz_stddevNorm,MFCC coefficient 1-coefficient of variation [vocal tract feature],Utterance-level,316,0.16667045396340463,0.005049187683944691,0.01134700441525343,2.5675479089693277e-06,ok,0.028401680722188887,True,True
jitterLocal_sma3nz_amean,Jitter-mean [roughness],Utterance-level,316,0.12218460780253923,0.0060502695218443885,0.0016811700796108202,0.0004828421626962083,ok,0.032030838645058526,True,True
MeanUnvoicedSegmentLength,MeanUnvoicedSegmentLength,Utterance-level,316,0.11873328495260485,0.011032421245403696,0.9160290441421741,0.0002769601872980443,ok,0.054008707664115495,False,True
hammarbergIndexV_sma3nz_stddevNorm,hammarbergIndexV-coefficient of variation,Utterance-level,316,0.12069955814668326,0.011401838284646604,0.0002108155318883732,1.6596798114077812e-07,ok,0.054008707664115495,False,True
