Feature,English_Description,Interaction_Coef,Z_Score,HDI_2.5%,HDI_97.5%,Interaction_PValue,Significant_Interaction,Interaction_FDR_PValue,Significant_Interaction_FDR,W_Age_Coef,W_Age_PValue,W_Age_Significant,C_Age_Coef,C_Age_PValue,C_Age_Significant
loudness_sma3_percentile20.0,Loudness-20th percentile [intensity],-0.09753269784773506,-3.818498536849609,-0.14759533004119338,-0.04747006565427675,0.00013426638066932814,True,0.012083974260239532,True,0.11574927357921823,0.06249675446081603,False,0.018216575731483164,0.7666033054516306,False
loudness_sma3_stddevNorm,Loudness-coefficient of variation [intensity],0.11364871825584395,3.442922378558067,0.04895034190884513,0.17834709460284276,0.0005754644576882927,True,0.02589590059597317,True,0.09674037060140428,0.026672175026504798,True,0.21038908885724822,1.1213914036911632e-05,True
mfcc1V_sma3nz_stddevNorm,MFCC coefficient 1-coefficient of variation [vocal tract feature],0.099885295979449,2.9578079744091603,0.03369601600807855,0.16607457595081943,0.0030983506980491768,True,0.09295052094147531,False,0.11446141306355676,0.0020382075300459383,True,0.21434670904300573,2.3560381110510065e-06,True
Gap_Before,Hesitation duration (response latency),0.0865292475787602,2.671623588578308,0.023048251985133036,0.15001024317238737,0.007548526986075697,True,0.12970671207568596,False,0.09216977620910881,0.00011201094498992012,True,0.178699023787869,4.111622153857297e-11,True
F3amplitudeLogRelF0_sma3nz_amean,F3-mean [timbre],-0.0757337485087392,-2.5262273115070086,-0.1344925729427046,-0.01697492407477376,0.011529485517838754,True,0.12970671207568596,False,0.11341207648785588,0.0029514306839305954,True,0.03767832797911669,0.34449378979952816,False
HNRdBACF_sma3nz_amean,Harmonics-to-noise ratio-mean [voice clarity],-0.06469345963092343,-2.752306685963027,-0.11076360927060398,-0.018623309991242884,0.0059177072991091866,True,0.12970671207568596,False,-0.03911518933693463,0.5113386963714763,False,-0.10380864896785806,0.0724463635124657,False
slopeV0-500_sma3nz_amean,slopeV0-500-mean,-0.055187292871556014,-2.584493269979332,-0.0970396340189233,-0.013334951724188741,0.00975222077635426,True,0.12970671207568596,False,0.28169628753315556,5.584334492733678e-06,True,0.22650899466159954,0.00024211434343901495,True
mfcc1_sma3_stddevNorm,MFCC coefficient 1-coefficient of variation [vocal tract feature],0.08568204269790654,2.5339196808745883,0.01940653879956157,0.1519575465962515,0.011279458210454545,True,0.12970671207568596,False,0.0975447977074551,0.009012474804856372,True,0.18322684040536164,4.474268709264706e-05,True
loudness_sma3_pctlrange0-2,Loudness-percentile range [intensity],0.05488984118802729,2.467494764467775,0.011289307449209501,0.09849037492684508,0.013606221110351362,True,0.13553413189516325,False,0.20444659197811882,0.0003284004650769439,True,0.25933643316614613,2.3496028330960428e-05,True
F1amplitudeLogRelF0_sma3nz_amean,F1-mean [mouth opening],-0.07511350888504177,-2.4309486667010227,-0.13567524736653497,-0.014551770403548582,0.015059347988351473,True,0.13553413189516325,False,0.10469195091975866,0.0033943901261291867,True,0.029578442034716892,0.43154846702988614,False
hammarbergIndexV_sma3nz_stddevNorm,hammarbergIndexV-coefficient of variation,0.06873434947997886,2.2610470877673734,0.009151634148833541,0.12831706481112418,0.023756341367492436,True,0.19437006573402904,False,0.13180999060484097,0.0002500904956225653,True,0.20054434008481983,1.6211402753540938e-07,True
logRelF0-H1-A3_sma3nz_stddevNorm,logRelF0-H1-A3-coefficient of variation,-0.08105756771225135,-2.1710829595517196,-0.15423433510248336,-0.007880800322019349,0.029924901907983664,True,0.2244367643098775,False,0.07983519126281197,0.0022185880640055097,True,-0.0012223764494393857,0.9589687147829364,False
hammarbergIndexUV_sma3nz_amean,hammarbergIndexUV-mean,0.06746618338397997,2.0928509927451526,0.004282650542421912,0.13064971622553803,0.03636245816093971,True,0.2517400949603519,False,-0.00758869365002187,0.7714025041246708,False,0.0598774897339581,0.03895839072784324,True
slopeUV500-1500_sma3nz_amean,slopeUV500-1500-mean,-0.06381408891720343,-2.03152793277133,-0.12538135179362153,-0.002246826040785327,0.04220146895183258,True,0.25320881371099546,False,0.013455806605190612,0.654968882105305,False,-0.050358282312012816,0.09725151310873992,False
F3amplitudeLogRelF0_sma3nz_stddevNorm,F3-coefficient of variation [timbre],-0.0612620663808087,-2.0441034153832622,-0.12000354159324148,-0.002520591168375934,0.04094333182744778,True,0.25320881371099546,False,-0.08649820441516837,0.015255486734334989,True,-0.14776027079597706,9.633679178877586e-05,True
F2amplitudeLogRelF0_sma3nz_amean,F2-mean [tongue position],-0.061326425706955116,-1.9917854845818723,-0.12167418670636068,-0.0009786647075495508,0.04639459955148203,True,0.2609696224770864,False,0.04966959215528385,0.13624097351562597,False,-0.01165683355167127,0.7300939199836463,False
shimmerLocaldB_sma3nz_amean,Shimmer-mean [hoarseness],0.061569993920624254,1.95421235377065,-0.00018234729837227764,0.12332233513962079,0.050676108930714246,False,0.26828528257436957,False,0.06891240355277942,0.03453677437787686,True,0.13048239747340368,0.00020246639551002588,True
F1bandwidth_sma3nz_stddevNorm,F1-coefficient of variation [mouth opening],0.061144309639846704,1.8768493322009836,-0.002708896282420735,0.12499751556211414,0.06053874691183989,False,0.30269373455919946,False,0.01785990516907326,0.5656052246484249,False,0.07900421480891996,0.006609663869143301,True
loudness_sma3_amean,Loudness-mean [intensity],-0.032630015419783796,-1.661223260683441,-0.07112865177794837,0.005868620938380781,0.09666861557950977,False,0.4023407260223386,False,0.19518719125500736,0.002776141582887556,True,0.16255717583522356,0.013872144978943401,True
equivalentSoundLevel_dBp,equivalentSoundLevel_dBp,-0.03380414626169401,-1.6529061994194174,-0.07388877217464218,0.00628047965125416,0.09834995524990499,False,0.4023407260223386,False,0.16879400273222236,0.01812282400883261,True,0.13498985647052836,0.056937025697572086,False
F1frequency_sma3nz_stddevNorm,F1-coefficient of variation [mouth opening],0.051431237431349815,1.6647780167373523,-0.009120514425035621,0.11198298928773526,0.09595705131637053,False,0.4023407260223386,False,0.02345044648328361,0.47426605240747577,False,0.07488168391463343,0.0236116337731338,True
loudness_sma3_stddevFallingSlope,Loudness-standard deviation [intensity],0.055208045330724834,1.7163810172171823,-0.007836096828142097,0.11825218748959176,0.08609232862133427,False,0.4023407260223386,False,0.036719041338114045,0.18446447501321517,False,0.09192708666883888,0.004599002491438187,True
alphaRatioUV_sma3nz_amean,Alpha ratio-mean [energy distribution],-0.05239363185332387,-1.5908541484740584,-0.11694481558755629,0.012157551880908536,0.11164240348967537,False,0.43686157887264276,False,0.004498501727763447,0.8603579162851347,False,-0.047895130125560424,0.10448300153754242,False
spectralFlux_sma3_stddevNorm,Spectral flux-coefficient of variation [timbre change],0.049626453351895666,1.3044685731231886,-0.0249386611888361,0.12419156789262743,0.19207386796236425,False,0.6402462265412142,False,-0.04349295193822223,0.2803671084643602,False,0.006133501413673435,0.8866161645465087,False
StddevVoicedSegmentLengthSec,Voiced segment duration SD [voicing stability],0.04611568227516262,1.3431958922156073,-0.021176614986278097,0.11340797953660334,0.1792085514408137,False,0.6402462265412142,False,0.01124864179066968,0.6796561417903526,False,0.0573643240658323,0.10893669541462381,False
mfcc1V_sma3nz_amean,MFCC coefficient 1-mean [vocal tract feature],-0.03709254779020625,-1.310947911094411,-0.0925496663023456,0.018364570721933093,0.18987536247309655,False,0.6402462265412142,False,-0.06951902018244503,0.10651926109258975,False,-0.10661156797265128,0.016624682467959007,True
mfcc1_sma3_amean,MFCC coefficient 1-mean [vocal tract feature],-0.037822283512282784,-1.3568595517834234,-0.09245702856503152,0.01681246154046595,0.1748258410523068,False,0.6402462265412142,False,-0.06144995661827443,0.167133767327028,False,-0.09927224013055722,0.0323521183410993,True
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0 semitone-rising slope [pitch],0.044703815475238634,1.2763439387255797,-0.023944983389239186,0.11335261433971645,0.20183396435199197,False,0.6487520282742599,False,-0.01085800131633313,0.7426391367797838,False,0.0338458141589055,0.20058793267695663,False
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0 semitone-coefficient of variation [pitch],0.04248112727309273,1.2217573805391304,-0.025669072415915824,0.11063132696210129,0.2217993899798565,False,0.6883429344202442,False,0.19045122256597488,6.878839298862452e-08,True,0.2329323498390676,1.5873347081196698e-10,True
F2frequency_sma3nz_amean,F2-mean [tongue position],-0.03559454904540269,-1.1629260886053316,-0.0955857357704826,0.024396637679677216,0.24485949152692232,False,0.7108823947555809,False,0.11021557576728662,0.007257880619015778,True,0.07462102672188392,0.08639727904239214,False
F2frequency_sma3nz_stddevNorm,F2-coefficient of variation [tongue position],0.03905326411907629,1.1660351456999491,-0.026591753490955834,0.10469828172910842,0.24360023595290425,False,0.7108823947555809,False,0.017990797595445383,0.4615408492073998,False,0.05704406171452167,0.05115399825032663,False
F2amplitudeLogRelF0_sma3nz_stddevNorm,F2-coefficient of variation [tongue position],-0.03541007167385098,-1.0239847438983243,-0.10318817178159959,0.03236802843389761,0.30584248086490573,False,0.7520414103116044,False,-0.0018449980090802004,0.9498120859416486,False,-0.037255069682931186,0.309844071161105,False
loudness_sma3_percentile50.0,Loudness-median [intensity],-0.02196466431115407,-1.0124594079393228,-0.06448562042285039,0.02055629180054224,0.31131844573332823,False,0.7520414103116044,False,0.1917555157773169,0.0023464763660429443,True,0.16979085146616282,0.00882036441302203,True
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,F0 semitone-standard deviation [pitch],0.03732588181497428,1.0738970970544397,-0.030798641994629526,0.10545040562457808,0.28286880457038255,False,0.7520414103116044,False,0.05673552305996467,0.02250297718129426,True,0.09406140487493894,0.004362487806811588,True
