Subject_ID,Task,Valid_Item_Count,Correct_Item_Count,Overall_Accuracy,Card_Completion_Time,Completion_Time_Was_Missing,Card_Completion_Time_Imputed,Accuracy_Z,Completion_Time_Z
xxxxxxxx001,CW,12,12,1.0,10.7017,False,10.7017,0.43493459490912884,-0.5539594641562312
xxxxxxxx001,W,12,12,1.0,6.4205,False,6.4205,0.23849196668686676,-0.6102261693961383
xxxxxxxx002,CW,12,12,1.0,11.45,False,11.45,0.43493459490912884,-0.4228987241644897
xxxxxxxx002,W,12,12,1.0,6.0104,False,6.0104,0.23849196668686676,-0.8122114482437637
xxxxxxxx003,CW,12,12,1.0,8.4279,False,8.4279,0.43493459490912884,-0.9522033644545373
xxxxxxxx003,W,12,12,1.0,7.6876,False,7.6876,0.23849196668686676,0.013854656811679852
xxxxxxxx004,CW,12,12,1.0,14.971,False,14.971,0.43493459490912884,0.19378558094164788
xxxxxxxx004,W,12,12,1.0,12.2632,False,12.2632,0.23849196668686676,2.2674607087385144
xxxxxxxx005,CW,12,12,1.0,12.0756,False,12.0756,0.43493459490912884,-0.31332823246485897
xxxxxxxx005,W,12,12,1.0,5.73,False,5.73,0.23849196668686676,-0.9503159890603304
xxxxxxxx006,CW,12,12,1.0,8.8031,False,8.8031,0.43493459490912884,-0.8864890925784159
xxxxxxxx006,W,12,12,1.0,6.212,False,6.212,0.23849196668686676,-0.7129180266010392
xxxxxxxx007,CW,12,12,1.0,14.7805,False,14.7805,0.43493459490912884,0.1604205255248006
xxxxxxxx007,W,12,12,1.0,7.0341,False,7.0341,0.23849196668686676,-0.3080116678089572
xxxxxxxx008,CW,12,12,1.0,9.257,False,9.257,0.43493459490912884,-0.8069909369159124
xxxxxxxx008,W,12,10,0.8333333333333334,6.196,False,6.196,-1.2108053693333174,-0.7207984568901443
xxxxxxxx009,CW,12,12,1.0,10.7606,False,10.7606,0.43493459490912884,-0.5436434443974265
xxxxxxxx009,W,12,12,1.0,10.3765,False,10.3765,0.23849196668686676,1.3382102195851011
xxxxxxxx010,CW,11,2,0.16666666666666666,,True,12.0607,-4.438800582086786,-0.315937887717935
xxxxxxxx010,W,12,12,1.0,4.7283,False,4.7283,0.23849196668686676,-1.4436801778476176
xxxxxxxx011,CW,12,4,0.3333333333333333,9.6052,False,9.6052,-3.4640535466876035,-0.7460055705319427
xxxxxxxx011,W,12,12,1.0,5.0566,False,5.0566,0.23849196668686676,-1.281983598853042
xxxxxxxx012,CW,12,12,1.0,10.8125,False,10.8125,0.43493459490912884,-0.5345534371736241
xxxxxxxx012,W,12,12,1.0,8.6215,False,8.6215,0.23849196668686676,0.4738255222488837
xxxxxxxx013,CW,12,12,1.0,7.5449,False,7.5449,0.43493459490912884,-1.1068560885126797
xxxxxxxx013,W,12,12,1.0,7.3134,False,7.3134,0.23849196668686676,-0.17044890657476602
xxxxxxxx014,CW,12,12,1.0,11.454,False,11.454,0.43493459490912884,-0.4221981455730596
xxxxxxxx014,W,12,12,1.0,7.4192,False,7.4192,0.23849196668686676,-0.1183395612880583
