Pair,Task_1,Task_2,Behavior_Metric,Speech_Feature,N,Spearman_rho,p_raw,Status,p_fdr_bh,Significant_FDR,Significant_Raw
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,Gap_Before,158,0.9789399703966933,1.463359016274674e-109,ok,2.6340462292944132e-107,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,F3amplitudeLogRelF0_sma3nz_stddevNorm,158,-0.5518126320625412,5.703415126586526e-14,ok,5.133073613927873e-12,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,loudness_sma3_stddevNorm,158,0.5360525983518899,3.918682365571815e-13,ok,2.351209419343089e-11,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,spectralFlux_sma3_stddevNorm,158,0.48228593508265644,1.394588524597627e-10,ok,6.072271215845028e-09,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,158,0.4803783016586066,1.6867420044013964e-10,ok,6.072271215845028e-09,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,158,0.4591478933124822,1.2967380764794653e-09,ok,3.890214229438396e-08,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,HNRdBACF_sma3nz_stddevNorm,158,0.4492446288861946,3.2045234885189067e-09,ok,8.240203256191474e-08,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,HNRdBACF_sma3nz_amean,158,-0.43389228716728606,1.2318932776515415e-08,ok,2.771759874715968e-07,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,hammarbergIndexUV_sma3nz_amean,158,0.42012972496294426,3.8966172506945726e-08,ok,7.793234501389145e-07,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,jitterLocal_sma3nz_amean,158,0.38275128202397773,6.933150198916146e-07,ok,1.2479670358049063e-05,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,F2amplitudeLogRelF0_sma3nz_stddevNorm,158,-0.3809410078815381,7.900648984753132e-07,ok,1.2928334702323307e-05,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,loudness_sma3_percentile20.0,158,-0.3752302775195897,1.1868900639207029e-06,ok,1.7803350958810542e-05,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,spectralFluxV_sma3nz_stddevNorm,158,0.36547000953816705,2.33775431449705e-06,ok,3.236890589303608e-05,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,F1amplitudeLogRelF0_sma3nz_amean,158,-0.36125617813097566,3.111327206508894e-06,ok,4.000277836940006e-05,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,mfcc1_sma3_stddevNorm,158,0.34993816164378977,6.573083374005616e-06,ok,7.717041355765188e-05,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,StddevUnvoicedSegmentLength,158,0.3492792241852316,6.8595923162357225e-06,ok,7.717041355765188e-05,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,Duration,158,0.34252060137611257,1.0567157003527128e-05,ok,0.00011188754474322843,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,loudness_sma3_pctlrange0-2,158,0.3406616475928678,1.1879972327246927e-05,ok,0.00011339184362907742,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,MeanUnvoicedSegmentLength,158,0.34031520533974907,1.214108450292229e-05,ok,0.00011339184362907742,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,alphaRatioUV_sma3nz_amean,158,-0.3397241869191581,1.2599093736564157e-05,ok,0.00011339184362907742,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,158,0.3377252018656658,1.4272173826237373e-05,ok,0.00012233291851060607,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,mfcc1V_sma3nz_stddevNorm,158,0.3345462677167271,1.7371524619146153e-05,ok,0.00014213065597483218,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,spectralFluxUV_sma3nz_amean,158,0.3272729525359884,2.7014922315662977e-05,ok,0.0002114211311660581,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,158,-0.32275058225414116,3.5351334289246804e-05,ok,0.00026513500716935105,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,mfcc1_sma3_amean,158,-0.3202800904832823,4.087269193671179e-05,ok,0.00029428338194432486,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,alphaRatioV_sma3nz_stddevNorm,158,-0.3017848694548945,0.0001164439796165242,ok,0.0008061506281143983,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,StddevVoicedSegmentLengthSec,158,0.29696758502730547,0.00015123951187580222,ok,0.0010082634125053481,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,jitterLocal_sma3nz_stddevNorm,158,0.2743386794734688,0.0004863362274828381,ok,0.0031264471766753875,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,F3amplitudeLogRelF0_sma3nz_amean,158,-0.2728113557432088,0.000524389777196854,ok,0.0032548330998425417,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,slopeV500-1500_sma3nz_amean,158,0.2584660740934558,0.0010418654492189313,ok,0.006251192695313588,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,158,0.24429482899781865,0.001979014017343532,ok,0.01124682961308452,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,slopeUV500-1500_sma3nz_amean,158,-0.24406146006838797,0.0019994363756594704,ok,0.01124682961308452,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,shimmerLocaldB_sma3nz_amean,158,0.2409961679995254,0.0022860545712991977,ok,0.012469388570722897,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,F2amplitudeLogRelF0_sma3nz_amean,158,-0.2248314847746817,0.0045099048526239804,ok,0.023557733199767644,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,logRelF0-H1-A3_sma3nz_stddevNorm,158,0.22444813260334157,0.0045806703443992645,ok,0.023557733199767644,True,True
STT_minus_Dots,STT,Dots,Overall_Accuracy,Duration,158,-0.21944550923867584,0.005599849505844313,ok,0.027999247529221564,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,mfcc3_sma3_amean,158,-0.2162395281725815,0.0063551779204427785,ok,0.03091708177512703,True,True
STT_minus_Dots,STT,Dots,Overall_Accuracy,StddevVoicedSegmentLengthSec,158,-0.21519217850222583,0.006620909656339029,ok,0.03136220363529014,True,True
STT_minus_Dots,STT,Dots,Overall_Accuracy,F3frequency_sma3nz_stddevNorm,158,-0.2104816584081675,0.007942345575025087,ok,0.03665697957703886,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,hammarbergIndexV_sma3nz_stddevNorm,158,0.2093909112068139,0.008279824676463205,ok,0.037259211044084424,True,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,F0semitoneFrom27.5Hz_sma3nz_amean,158,-0.2020129031472909,0.0109152884529635,ok,0.0479207785739861,True,True
STT_minus_Dots,STT,Dots,Overall_Accuracy,Gap_Before,158,-0.19748645705393156,0.012875262208343563,ok,0.05436760131460542,False,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,mfcc1V_sma3nz_amean,158,-0.1972453408259414,0.012987815869600185,ok,0.05436760131460542,False,True
STT_minus_Dots,STT,Dots,Overall_Accuracy,loudness_sma3_meanFallingSlope,158,-0.19086145244196812,0.016298262272859722,ok,0.0656865684513597,False,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,158,0.19064620701929996,0.016421642112839925,ok,0.0656865684513597,False,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,mfcc3V_sma3nz_amean,158,-0.18967565668074823,0.016988112411254502,ok,0.06647522247882197,False,True
STT_minus_Dots,STT,Dots,Overall_Accuracy,spectralFlux_sma3_stddevNorm,158,-0.18605532026568444,0.01925359504832314,ok,0.07298099910833618,False,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,F1bandwidth_sma3nz_amean,158,0.18574173320818607,0.01946159976222298,ok,0.07298099910833618,False,True
STT_minus_Dots,STT,Dots,Total_Hesitation_Duration,loudnessPeaksPerSec,158,-0.18370935820457315,0.02085740407561467,ok,0.076619035379809,False,True
STT_minus_Dots,STT,Dots,Overall_Accuracy,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,158,-0.17469876139051763,0.028134611153714798,ok,0.10128460015337327,False,True
STT_minus_Dots,STT,Dots,Overall_Accuracy,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,158,-0.17322999082457577,0.029505865823018812,ok,0.10383495980713159,False,True
