Pair,Task_1,Task_2,Behavior_Metric,Speech_Feature,N,Spearman_rho,p_raw,Status,p_fdr_bh,Significant_FDR,Significant_Raw
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,Gap_Before,158,0.9871789996029566,3.0946279368908157e-126,ok,5.570330286403468e-124,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,loudness_sma3_stddevNorm,158,0.6315650960890473,5.747749025047475e-19,ok,5.1729741225427274e-17,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F3amplitudeLogRelF0_sma3nz_stddevNorm,158,-0.5387847431920761,2.8258237065494424e-13,ok,1.43497840626061e-11,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,158,0.5377776831229207,3.188840902801356e-13,ok,1.43497840626061e-11,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,loudness_sma3_percentile20.0,158,-0.50302954702073,1.6314304296178916e-11,ok,5.87314954662441e-10,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,spectralFlux_sma3_stddevNorm,158,0.49457450190839397,3.980741377027369e-11,ok,1.1942224131082108e-09,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,158,0.4818265209725584,1.4601105014582633e-10,ok,3.754569860892677e-09,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,mfcc1V_sma3nz_stddevNorm,158,0.4502973261186049,2.914683595492008e-09,ok,6.558038089857017e-08,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,HNRdBACF_sma3nz_amean,158,-0.4218319061578224,3.3887227284372354e-08,ok,6.777445456874471e-07,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,loudness_sma3_pctlrange0-2,158,0.41712823586502956,4.9753286191860064e-08,ok,8.468714141643627e-07,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,mfcc1_sma3_stddevNorm,158,0.41664143945697857,5.175325308782216e-08,ok,8.468714141643627e-07,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,hammarbergIndexUV_sma3nz_amean,158,0.40940816177824174,9.227602634458055e-08,ok,1.3841403951687083e-06,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,Duration,158,0.3887236654552535,4.4805410060814847e-07,ok,6.106653420866171e-06,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,HNRdBACF_sma3nz_stddevNorm,158,0.3879326212921706,4.7496193273403556e-07,ok,6.106653420866171e-06,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,158,0.3783330973429059,9.523458245955061e-07,ok,1.1428149895146073e-05,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,hammarbergIndexV_sma3nz_stddevNorm,158,0.3577299466501561,3.9399156363986575e-06,ok,4.43240509094849e-05,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F1amplitudeLogRelF0_sma3nz_amean,158,-0.3560687539076821,4.3991770757916405e-06,ok,4.657952197897031e-05,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,spectralFluxV_sma3nz_stddevNorm,158,0.34615940452629385,8.384226357798392e-06,ok,8.384226357798392e-05,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,spectralFluxUV_sma3nz_amean,158,0.3406206295555397,1.1910608134070387e-05,ok,0.00011283734021750893,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,alphaRatioUV_sma3nz_amean,158,-0.3361998027641471,1.5687766728534935e-05,ok,0.00014118990055681443,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,alphaRatioV_sma3nz_stddevNorm,158,-0.334363719063708,1.7567522632400163e-05,ok,0.00015057876542057282,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,mfcc1_sma3_amean,158,-0.32918237979551507,2.408406928000519e-05,ok,0.0001970514759273152,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F2amplitudeLogRelF0_sma3nz_amean,158,-0.3142651123663021,5.789050597466226e-05,ok,0.0004530561337147481,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,slopeV500-1500_sma3nz_amean,158,0.30985351991833987,7.437858682728933e-05,ok,0.0005578394012046699,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F3amplitudeLogRelF0_sma3nz_amean,158,-0.3065250494782912,8.962673551659546e-05,ok,0.0006453124957194873,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,158,0.299582607532802,0.00013130251373702902,ok,0.0009090174027948163,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,158,-0.29637838684797807,0.00015610515133397709,ok,0.0010407010088931807,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,jitterLocal_sma3nz_stddevNorm,158,0.295137056007448,0.00016683743249932127,ok,0.001072526351781351,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,jitterLocal_sma3nz_amean,158,0.2910936033430743,0.0002067517888952325,ok,0.0012832869655566154,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F2amplitudeLogRelF0_sma3nz_stddevNorm,158,-0.289487175196506,0.00022494532563449964,ok,0.001349671953806998,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,shimmerLocaldB_sma3nz_amean,158,0.28249251930832314,0.0003228854293442511,ok,0.0018748186219988774,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,StddevVoicedSegmentLengthSec,158,0.27750561186018124,0.0004154240743454718,ok,0.002336760418193279,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,slopeV0-500_sma3nz_amean,158,-0.2728083132656585,0.0005244682502838082,ok,0.0028607359106389537,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,MeanUnvoicedSegmentLength,158,-0.2694082727022793,0.0006192627386135123,ok,0.0032784497926597713,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,HNRdBACF_sma3nz_amean,158,0.2605041004123237,0.0009472185256753878,ok,0.004801911169614881,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,MeanUnvoicedSegmentLength,158,0.26020975534207236,0.0009603822339229763,ok,0.004801911169614881,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F3frequency_sma3nz_stddevNorm,158,0.2579884051180557,0.0010652671469619185,ok,0.005064535257495605,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,slopeUV500-1500_sma3nz_amean,158,-0.257909483484351,0.0010691796654712944,ok,0.005064535257495605,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,StddevUnvoicedSegmentLength,158,0.24606632116548224,0.0018300666091208932,ok,0.008446461272865661,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,mfcc1V_sma3nz_amean,158,-0.24094748835872026,0.0022908927262896284,ok,0.010309017268303328,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,Gap_Before,158,-0.23761990445513032,0.0026444837352567747,ok,0.01160992859381023,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F3amplitudeLogRelF0_sma3nz_stddevNorm,158,0.23658787958316735,0.002763781678658198,ok,0.011844778622820849,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,158,0.23533715975593247,0.002914873325291623,ok,0.012201795315174235,True,True
