Group,Task,Feature,Devices,N_complete_targets,ICC_2_1_absolute_agreement,ICC_Category
task_mean,C,F0semitoneFrom27.5Hz_sma3nz_amean,"1,2,3",102,0.7822660853334626,good
task_mean,C,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,"1,2,3",102,0.3679144709738732,poor
task_mean,C,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,"1,2,3",102,0.3210713588410868,poor
task_mean,C,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,"1,2,3",102,0.5706229030914965,moderate
task_mean,C,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,"1,2,3",102,0.8601675104423481,good
task_mean,C,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,"1,2,3",102,0.8084344177150671,good
task_mean,C,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,"1,2,3",102,0.657386191085328,moderate
task_mean,C,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,"1,2,3",102,0.307683333936507,poor
task_mean,C,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,"1,2,3",102,0.6209440734936056,moderate
task_mean,C,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,"1,2,3",102,0.2713225221006276,poor
task_mean,C,F1amplitudeLogRelF0_sma3nz_amean,"1,2,3",102,0.3569118680083244,poor
task_mean,C,F1amplitudeLogRelF0_sma3nz_stddevNorm,"1,2,3",102,0.000960498013304,poor
task_mean,C,F1bandwidth_sma3nz_amean,"1,2,3",102,0.4045070781002251,poor
task_mean,C,F1bandwidth_sma3nz_stddevNorm,"1,2,3",102,0.2528348483648355,poor
task_mean,C,F1frequency_sma3nz_amean,"1,2,3",102,0.3698098441921513,poor
task_mean,C,F1frequency_sma3nz_stddevNorm,"1,2,3",102,0.347582906740931,poor
task_mean,C,F2amplitudeLogRelF0_sma3nz_amean,"1,2,3",102,0.4766660315077403,poor
task_mean,C,F2amplitudeLogRelF0_sma3nz_stddevNorm,"1,2,3",102,-0.0025238159815717,poor
task_mean,C,F2bandwidth_sma3nz_amean,"1,2,3",102,0.2360215617634802,poor
task_mean,C,F2bandwidth_sma3nz_stddevNorm,"1,2,3",102,0.3735856242210268,poor
task_mean,C,F2frequency_sma3nz_amean,"1,2,3",102,0.33722872307829,poor
task_mean,C,F2frequency_sma3nz_stddevNorm,"1,2,3",102,0.2855810381099455,poor
task_mean,C,F3amplitudeLogRelF0_sma3nz_amean,"1,2,3",102,0.6514993777660217,moderate
task_mean,C,F3amplitudeLogRelF0_sma3nz_stddevNorm,"1,2,3",102,-0.0268424014350708,poor
task_mean,C,F3bandwidth_sma3nz_amean,"1,2,3",102,0.259008309757996,poor
task_mean,C,F3bandwidth_sma3nz_stddevNorm,"1,2,3",102,0.2490231733664676,poor
task_mean,C,F3frequency_sma3nz_amean,"1,2,3",102,0.3915428135493213,poor
task_mean,C,F3frequency_sma3nz_stddevNorm,"1,2,3",102,0.3827483243070805,poor
task_mean,C,Gap_Before,"1,2,3",102,0.7701397808693671,good
task_mean,C,HNRdBACF_sma3nz_amean,"1,2,3",102,0.8912034173860582,good
task_mean,C,HNRdBACF_sma3nz_stddevNorm,"1,2,3",102,2.1685887141279732e-05,poor
task_mean,C,MeanUnvoicedSegmentLength,"1,2,3",102,0.0588308989668835,poor
task_mean,C,MeanVoicedSegmentLengthSec,"1,2,3",102,0.8959287985505587,good
task_mean,C,StddevUnvoicedSegmentLength,"1,2,3",102,0.3697771590025672,poor
task_mean,C,StddevVoicedSegmentLengthSec,"1,2,3",102,0.2216077655770432,poor
task_mean,C,VoicedSegmentsPerSec,"1,2,3",102,0.8085981391627667,good
task_mean,C,Word_Duration,"1,2,3",102,0.819030788745384,good
task_mean,C,alphaRatioUV_sma3nz_amean,"1,2,3",102,0.1521320106619654,poor
task_mean,C,alphaRatioV_sma3nz_amean,"1,2,3",102,0.652449683358229,moderate
task_mean,C,alphaRatioV_sma3nz_stddevNorm,"1,2,3",102,0.2005988123147465,poor
task_mean,C,equivalentSoundLevel_dBp,"1,2,3",102,0.0497137547020234,poor
task_mean,C,hammarbergIndexUV_sma3nz_amean,"1,2,3",102,0.1272917536023206,poor
task_mean,C,hammarbergIndexV_sma3nz_amean,"1,2,3",102,0.5785015987441195,moderate
