Group,Task,Feature,Devices,N_complete_targets,ICC_2_1_absolute_agreement,ICC_Category
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_amean,"1,2,3",102,0.8031388231483584,good
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,"1,2,3",102,0.3837046135491819,poor
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,"1,2,3",102,0.3122402416620966,poor
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,"1,2,3",102,0.5241290500954136,moderate
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,"1,2,3",102,0.8964189199003135,good
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,"1,2,3",102,0.8481439665660956,good
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,"1,2,3",102,0.6498998460940845,moderate
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,"1,2,3",102,0.3922517633919712,poor
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,"1,2,3",102,0.5823427691871075,moderate
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,"1,2,3",102,0.2639963522328312,poor
overall_mean,All,F1amplitudeLogRelF0_sma3nz_amean,"1,2,3",102,0.4901968945112177,poor
overall_mean,All,F1amplitudeLogRelF0_sma3nz_stddevNorm,"1,2,3",102,0.0014284001222884,poor
overall_mean,All,F1bandwidth_sma3nz_amean,"1,2,3",102,0.4423816294622554,poor
overall_mean,All,F1bandwidth_sma3nz_stddevNorm,"1,2,3",102,0.2202119736947393,poor
overall_mean,All,F1frequency_sma3nz_amean,"1,2,3",102,0.3463252793176316,poor
overall_mean,All,F1frequency_sma3nz_stddevNorm,"1,2,3",102,0.3706081461359603,poor
overall_mean,All,F2amplitudeLogRelF0_sma3nz_amean,"1,2,3",102,0.5483438811006129,moderate
overall_mean,All,F2amplitudeLogRelF0_sma3nz_stddevNorm,"1,2,3",102,-0.0020385160456354,poor
overall_mean,All,F2bandwidth_sma3nz_amean,"1,2,3",102,0.2915827312274677,poor
overall_mean,All,F2bandwidth_sma3nz_stddevNorm,"1,2,3",102,0.4505925321333628,poor
overall_mean,All,F2frequency_sma3nz_amean,"1,2,3",102,0.3640941024741648,poor
overall_mean,All,F2frequency_sma3nz_stddevNorm,"1,2,3",102,0.3065607060153992,poor
overall_mean,All,F3amplitudeLogRelF0_sma3nz_amean,"1,2,3",102,0.6934178164319715,moderate
overall_mean,All,F3amplitudeLogRelF0_sma3nz_stddevNorm,"1,2,3",102,-0.0388109619066447,poor
overall_mean,All,F3bandwidth_sma3nz_amean,"1,2,3",102,0.3495004898824543,poor
overall_mean,All,F3bandwidth_sma3nz_stddevNorm,"1,2,3",102,0.3735653913719066,poor
overall_mean,All,F3frequency_sma3nz_amean,"1,2,3",102,0.5003421503266018,moderate
overall_mean,All,F3frequency_sma3nz_stddevNorm,"1,2,3",102,0.4176754559251639,poor
overall_mean,All,Gap_Before,"1,2,3",102,0.8866686119581393,good
overall_mean,All,HNRdBACF_sma3nz_amean,"1,2,3",102,0.902834066523056,excellent
overall_mean,All,HNRdBACF_sma3nz_stddevNorm,"1,2,3",102,-0.0006100331428439,poor
overall_mean,All,MeanUnvoicedSegmentLength,"1,2,3",102,0.2814761225949823,poor
overall_mean,All,MeanVoicedSegmentLengthSec,"1,2,3",102,0.8793187484284871,good
overall_mean,All,StddevUnvoicedSegmentLength,"1,2,3",102,0.1442616210108447,poor
overall_mean,All,StddevVoicedSegmentLengthSec,"1,2,3",102,0.4380507426534532,poor
overall_mean,All,VoicedSegmentsPerSec,"1,2,3",102,0.8667487090753719,good
overall_mean,All,Word_Duration,"1,2,3",102,0.8407614504835156,good
overall_mean,All,alphaRatioUV_sma3nz_amean,"1,2,3",102,0.1680234097434078,poor
overall_mean,All,alphaRatioV_sma3nz_amean,"1,2,3",102,0.6761432176149534,moderate
overall_mean,All,alphaRatioV_sma3nz_stddevNorm,"1,2,3",102,0.0272821105826177,poor
overall_mean,All,equivalentSoundLevel_dBp,"1,2,3",102,0.0324646002250292,poor
overall_mean,All,hammarbergIndexUV_sma3nz_amean,"1,2,3",102,0.1500215456397979,poor
overall_mean,All,hammarbergIndexV_sma3nz_amean,"1,2,3",102,0.6321430772303465,moderate
overall_mean,All,hammarbergIndexV_sma3nz_stddevNorm,"1,2,3",102,0.1351625894723334,poor
overall_mean,All,jitterLocal_sma3nz_amean,"1,2,3",102,0.5779498329522709,moderate
overall_mean,All,jitterLocal_sma3nz_stddevNorm,"1,2,3",102,0.5910504468934541,moderate
overall_mean,All,logRelF0-H1-A3_sma3nz_amean,"1,2,3",102,0.7081214946986504,moderate
overall_mean,All,logRelF0-H1-A3_sma3nz_stddevNorm,"1,2,3",102,0.0018261909308358,poor
overall_mean,All,logRelF0-H1-H2_sma3nz_amean,"1,2,3",102,0.6049855954320181,moderate
overall_mean,All,logRelF0-H1-H2_sma3nz_stddevNorm,"1,2,3",102,0.0278725622994476,poor
overall_mean,All,loudnessPeaksPerSec,"1,2,3",102,0.5537068931014503,moderate
overall_mean,All,loudness_sma3_amean,"1,2,3",102,0.078652994249636,poor
overall_mean,All,loudness_sma3_meanFallingSlope,"1,2,3",102,0.3098907004896372,poor
overall_mean,All,loudness_sma3_meanRisingSlope,"1,2,3",102,0.112969087775008,poor
overall_mean,All,loudness_sma3_pctlrange0-2,"1,2,3",102,0.1349562994512519,poor
overall_mean,All,loudness_sma3_percentile20.0,"1,2,3",102,0.1169048259071932,poor
overall_mean,All,loudness_sma3_percentile50.0,"1,2,3",102,0.0834381495620245,poor
overall_mean,All,loudness_sma3_percentile80.0,"1,2,3",102,0.0838725555506812,poor
overall_mean,All,loudness_sma3_stddevFallingSlope,"1,2,3",102,0.2209671403693099,poor
overall_mean,All,loudness_sma3_stddevNorm,"1,2,3",102,0.474682119837857,poor
overall_mean,All,loudness_sma3_stddevRisingSlope,"1,2,3",102,0.0963827775921262,poor
overall_mean,All,mfcc1V_sma3nz_amean,"1,2,3",102,0.4730452944615842,poor
overall_mean,All,mfcc1V_sma3nz_stddevNorm,"1,2,3",102,0.1688687714615561,poor
overall_mean,All,mfcc1_sma3_amean,"1,2,3",102,0.4759978322601778,poor
overall_mean,All,mfcc1_sma3_stddevNorm,"1,2,3",102,0.0326598692313874,poor
overall_mean,All,mfcc2V_sma3nz_amean,"1,2,3",102,0.5787377340090154,moderate
overall_mean,All,mfcc2V_sma3nz_stddevNorm,"1,2,3",102,-0.0217941351516128,poor
overall_mean,All,mfcc2_sma3_amean,"1,2,3",102,0.5399009607846449,moderate
overall_mean,All,mfcc2_sma3_stddevNorm,"1,2,3",102,-0.0415345772783558,poor
overall_mean,All,mfcc3V_sma3nz_amean,"1,2,3",102,0.5545792301519722,moderate
overall_mean,All,mfcc3V_sma3nz_stddevNorm,"1,2,3",102,0.0127379324029048,poor
overall_mean,All,mfcc3_sma3_amean,"1,2,3",102,0.5554583860972644,moderate
overall_mean,All,mfcc3_sma3_stddevNorm,"1,2,3",102,0.0337137601706917,poor
overall_mean,All,mfcc4V_sma3nz_amean,"1,2,3",102,0.4318309744193986,poor
overall_mean,All,mfcc4V_sma3nz_stddevNorm,"1,2,3",102,0.0118031458436352,poor
overall_mean,All,mfcc4_sma3_amean,"1,2,3",102,0.4420644094257134,poor
overall_mean,All,mfcc4_sma3_stddevNorm,"1,2,3",102,-0.0199638766816279,poor
overall_mean,All,shimmerLocaldB_sma3nz_amean,"1,2,3",102,0.535443832032942,moderate
overall_mean,All,shimmerLocaldB_sma3nz_stddevNorm,"1,2,3",102,0.3479151124281572,poor
overall_mean,All,slopeUV0-500_sma3nz_amean,"1,2,3",102,0.2348111209190131,poor
overall_mean,All,slopeUV500-1500_sma3nz_amean,"1,2,3",102,0.423181874911545,poor
overall_mean,All,slopeV0-500_sma3nz_amean,"1,2,3",102,0.2240632511654126,poor
overall_mean,All,slopeV0-500_sma3nz_stddevNorm,"1,2,3",102,0.0047064379294067,poor
overall_mean,All,slopeV500-1500_sma3nz_amean,"1,2,3",102,0.4373217142466058,poor
overall_mean,All,slopeV500-1500_sma3nz_stddevNorm,"1,2,3",102,-0.4260098660316884,poor
overall_mean,All,spectralFluxUV_sma3nz_amean,"1,2,3",102,0.128363465263064,poor
overall_mean,All,spectralFluxV_sma3nz_amean,"1,2,3",102,0.0293629857417135,poor
overall_mean,All,spectralFluxV_sma3nz_stddevNorm,"1,2,3",102,0.7310556028096111,moderate
overall_mean,All,spectralFlux_sma3_amean,"1,2,3",102,0.0311499292934629,poor
overall_mean,All,spectralFlux_sma3_stddevNorm,"1,2,3",102,0.6629177030377782,moderate
