Feature,ICC_2_1_absolute_agreement,ICC_Category
HNRdBACF_sma3nz_amean,0.902834066523056,excellent
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.8964189199003135,good
Gap_Before,0.8866686119581393,good
MeanVoicedSegmentLengthSec,0.8793187484284871,good
VoicedSegmentsPerSec,0.8667487090753719,good
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.8481439665660956,good
Word_Duration,0.8407614504835156,good
F0semitoneFrom27.5Hz_sma3nz_amean,0.8031388231483584,good
spectralFluxV_sma3nz_stddevNorm,0.7310556028096111,moderate
logRelF0-H1-A3_sma3nz_amean,0.7081214946986504,moderate
F3amplitudeLogRelF0_sma3nz_amean,0.6934178164319715,moderate
alphaRatioV_sma3nz_amean,0.6761432176149534,moderate
spectralFlux_sma3_stddevNorm,0.6629177030377782,moderate
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.6498998460940845,moderate
hammarbergIndexV_sma3nz_amean,0.6321430772303465,moderate
logRelF0-H1-H2_sma3nz_amean,0.6049855954320181,moderate
jitterLocal_sma3nz_stddevNorm,0.5910504468934541,moderate
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.5823427691871075,moderate
mfcc2V_sma3nz_amean,0.5787377340090154,moderate
jitterLocal_sma3nz_amean,0.5779498329522709,moderate
mfcc3_sma3_amean,0.5554583860972644,moderate
mfcc3V_sma3nz_amean,0.5545792301519722,moderate
loudnessPeaksPerSec,0.5537068931014503,moderate
F2amplitudeLogRelF0_sma3nz_amean,0.5483438811006129,moderate
mfcc2_sma3_amean,0.5399009607846449,moderate
shimmerLocaldB_sma3nz_amean,0.535443832032942,moderate
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.5241290500954136,moderate
F3frequency_sma3nz_amean,0.5003421503266018,moderate
