Device_ID,Device_Name,Acoustic_Level,N_Features,Mean_ICC_3_1,Median_ICC_3_1,ICC_Q1,ICC_Q3,ICC_Min,ICC_Max,N_Poor,N_Moderate,N_Good,N_Excellent,N_ICC_GE_0_50,N_ICC_GE_0_75,Median_Complete_Pairs
1,ASUS_FX63VD_laptop,C,32,0.48485136896455755,0.48502177184912965,0.30452079519997605,0.6453639924228156,0.15986459461442484,0.9118354384436458,16,13,2,1,16,3,51.0
1,ASUS_FX63VD_laptop,W,32,0.4982380677017143,0.5752673418427716,0.2866664910677146,0.6666795376432499,-0.006578169493049351,0.9262493886211077,14,15,1,2,18,3,51.0
1,ASUS_FX63VD_laptop,Model_Based_CW_vs_W_Task_Slope,32,0.15364948373101117,0.15369051860855906,-0.11123485365932091,0.4126902302584919,-0.5475179182310651,0.9081419885633222,25,5,1,1,7,2,51.0
1,ASUS_FX63VD_laptop,Overall_All_Conditions,32,0.614390557851796,0.6796716140406716,0.4014621744509364,0.7483527463065431,0.11937150571620805,0.9502586048918132,10,15,4,3,22,7,51.0
1,ASUS_FX63VD_laptop,CW,32,0.4752920665702381,0.4214734913700137,0.34103013616986055,0.6204995190353468,0.05087324896706118,0.9103918109253983,19,10,0,3,13,3,50.0
2,Apple_iPad_2021,C,32,0.46550598427955603,0.5731268211856838,0.2607352169138769,0.6657247265863148,-0.13371892014554418,0.8656347179009939,15,13,4,0,17,4,51.0
2,Apple_iPad_2021,W,32,0.45788518841338827,0.5291370694137895,0.2984160461258132,0.6357971357037374,-0.06444221883437538,0.867641870361264,15,14,3,0,17,3,51.0
2,Apple_iPad_2021,Model_Based_CW_vs_W_Task_Slope,32,0.1375947563338097,0.10762174943531476,-0.07915046778028012,0.39362420336356074,-0.83673303439484,0.9315809343015522,28,3,0,1,4,1,51.0
2,Apple_iPad_2021,Overall_All_Conditions,32,0.5865488483998557,0.693728641308496,0.3871859391127966,0.7479161612854115,0.007084340702937643,0.9264601584388485,10,14,7,1,22,8,51.0
2,Apple_iPad_2021,CW,32,0.4422795302916922,0.45972174437024593,0.2650742400123356,0.6286493304581364,0.019811401053658806,0.8566811794883947,19,10,3,0,13,3,50.0
3,Huawei_P30_smartphone,C,32,0.48088956333486743,0.5823484808390121,0.308498107629589,0.6449470416908939,-0.01909234066885649,0.8963531050220952,15,13,4,0,17,4,51.0
3,Huawei_P30_smartphone,W,32,0.46734710072657837,0.5316750916852385,0.2755540618371933,0.6759446269429343,-0.15612795437553556,0.938116741565755,15,13,3,1,17,4,51.0
3,Huawei_P30_smartphone,Model_Based_CW_vs_W_Task_Slope,32,-0.01740602495143754,-0.017652469474789254,-0.13830715194185284,0.13519783760713602,-0.6631616257570445,0.7197445008020277,31,1,0,0,1,0,51.0
3,Huawei_P30_smartphone,Overall_All_Conditions,32,0.579452335943786,0.6588449184136802,0.4507415297956972,0.7583423252757939,-0.19332701617807058,0.9558789709769615,10,12,8,2,22,10,51.0
3,Huawei_P30_smartphone,CW,32,0.4563497736889099,0.5076839894916804,0.2731749958078385,0.67184385157566,-0.23092723612408608,0.9282336090428358,16,12,3,1,16,4,50.0
