Device_ID,Device_Name,Measure_Family,Measure,N_Measures,N_Complete_Pairs,Mean_ICC_3_1,Median_ICC_3_1,ICC_Q1,ICC_Q3,N_ICC_GE_0_50,N_ICC_GE_0_75
1,ASUS_FX63VD_laptop,Acoustic (32 features),C,32,51.0,0.48485136896455755,0.48502177184912965,0.30452079519997605,0.6453639924228156,16,3
1,ASUS_FX63VD_laptop,Acoustic (32 features),W,32,51.0,0.4982380677017143,0.5752673418427716,0.2866664910677146,0.6666795376432499,18,3
1,ASUS_FX63VD_laptop,Acoustic (32 features),Model_Based_CW_vs_W_Task_Slope,32,51.0,0.15364948373101117,0.15369051860855906,-0.11123485365932091,0.4126902302584919,7,2
1,ASUS_FX63VD_laptop,Acoustic (32 features),Overall_All_Conditions,32,51.0,0.614390557851796,0.6796716140406716,0.4014621744509364,0.7483527463065431,22,7
1,ASUS_FX63VD_laptop,Acoustic (32 features),CW,32,50.0,0.4752920665702381,0.4214734913700137,0.34103013616986055,0.6204995190353468,13,3
1,ASUS_FX63VD_laptop,Traditional Stroop,Accuracy interference (W - CW),1,50.0,0.3203277636835507,0.3203277636835507,,,0,0
1,ASUS_FX63VD_laptop,Traditional Stroop,Completion-time interference (CW - W),1,43.0,0.10844903730250811,0.10844903730250811,,,0,0
1,ASUS_FX63VD_laptop,Traditional Stroop,C accuracy,1,51.0,-0.022966507177033524,-0.022966507177033524,,,0,0
1,ASUS_FX63VD_laptop,Traditional Stroop,C card completion time,1,49.0,0.5556274658176069,0.5556274658176069,,,1,0
1,ASUS_FX63VD_laptop,Traditional Stroop,W accuracy,1,51.0,-0.18404255319148913,-0.18404255319148913,,,0,0
1,ASUS_FX63VD_laptop,Traditional Stroop,W card completion time,1,46.0,0.6292332182074293,0.6292332182074293,,,1,0
1,ASUS_FX63VD_laptop,Traditional Stroop,CW accuracy,1,50.0,0.3831289261142687,0.3831289261142687,,,0,0
1,ASUS_FX63VD_laptop,Traditional Stroop,CW card completion time,1,46.0,0.35523680554905107,0.35523680554905107,,,0,0
1,ASUS_FX63VD_laptop,Traditional Stroop,Three-condition overall accuracy,1,51.0,0.2953064974110573,0.2953064974110573,,,0,0
1,ASUS_FX63VD_laptop,Traditional Stroop,Three-condition total completion time,1,41.0,0.6306514948134979,0.6306514948134979,,,1,0
2,Apple_iPad_2021,Acoustic (32 features),C,32,51.0,0.46550598427955603,0.5731268211856838,0.2607352169138769,0.6657247265863148,17,4
2,Apple_iPad_2021,Acoustic (32 features),W,32,51.0,0.45788518841338827,0.5291370694137895,0.2984160461258132,0.6357971357037374,17,3
2,Apple_iPad_2021,Acoustic (32 features),Model_Based_CW_vs_W_Task_Slope,32,51.0,0.1375947563338097,0.10762174943531476,-0.07915046778028012,0.39362420336356074,4,1
2,Apple_iPad_2021,Acoustic (32 features),Overall_All_Conditions,32,51.0,0.5865488483998557,0.693728641308496,0.3871859391127966,0.7479161612854115,22,8
2,Apple_iPad_2021,Acoustic (32 features),CW,32,50.0,0.4422795302916922,0.45972174437024593,0.2650742400123356,0.6286493304581364,13,3
2,Apple_iPad_2021,Traditional Stroop,Accuracy interference (W - CW),1,50.0,0.1318978221712788,0.1318978221712788,,,0,0
2,Apple_iPad_2021,Traditional Stroop,Completion-time interference (CW - W),1,22.0,0.2592754986459344,0.2592754986459344,,,0,0
2,Apple_iPad_2021,Traditional Stroop,C accuracy,1,51.0,-0.08556149732620308,-0.08556149732620308,,,0,0
2,Apple_iPad_2021,Traditional Stroop,C card completion time,1,44.0,0.5666114063956805,0.5666114063956805,,,1,0
2,Apple_iPad_2021,Traditional Stroop,W accuracy,1,51.0,-0.18742724097788113,-0.18742724097788113,,,0,0
