Device_and_Measure_Level,Accuracy_ICC_3_1,Completion_Time_ICC_3_1,Acoustic_32_Feature_Median_ICC_3_1
ASUS_FX63VD_laptop | Three-condition overall,0.295306497,0.630651495,0.679671614
ASUS_FX63VD_laptop | C,-0.022966507,0.555627466,0.485021772
ASUS_FX63VD_laptop | W,-0.184042553,0.629233218,0.575267342
ASUS_FX63VD_laptop | CW,0.383128926,0.355236806,0.421473491
ASUS_FX63VD_laptop | CW-W task effect,0.320327764,0.108449037,0.153690519
Apple_iPad_2021 | Three-condition overall,0.050560337,0.668269666,0.693728641
Apple_iPad_2021 | C,-0.085561497,0.566611406,0.573126821
Apple_iPad_2021 | W,-0.187427241,0.588213003,0.529137069
Apple_iPad_2021 | CW,0.122691857,0.380629119,0.459721744
Apple_iPad_2021 | CW-W task effect,0.131897822,0.259275499,0.107621749
Huawei_P30_smartphone | Three-condition overall,0.33530045,0.571644804,0.658844918
Huawei_P30_smartphone | C,-0.035058431,0.53736215,0.582348481
Huawei_P30_smartphone | W,-0.174639769,0.574981693,0.531675092
Huawei_P30_smartphone | CW,0.400621553,0.160357755,0.507683989
Huawei_P30_smartphone | CW-W task effect,0.389285049,0.277490213,-0.017652469
