Outcome,Model,Predictors,N,N_Positive,N_Negative,Validation,AUC,AUC_CI_Low_DeLong,AUC_CI_High_DeLong
Drug vs HC: Full sample,Behavioral_Task_Z_Deviations,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT,58,28,30,Leave-one-subject-out cross-validation,0.6273809523809524,0.4824412741264278,0.772320630635477
Drug vs HC: Full sample,Acoustic_Deviation,Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,58,28,30,Leave-one-subject-out cross-validation,0.513095238095238,0.3581445056076623,0.6680459705828138
Drug vs HC: Full sample,Combined_Task_Behavior_Acoustic,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT; Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,58,28,30,Leave-one-subject-out cross-validation,0.611904761904762,0.4650508300936005,0.7587586937159234
MoCA-CI vs MoCA-CN: Overall: Full sample,Behavioral_Task_Z_Deviations,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT,58,23,35,Leave-one-subject-out cross-validation,0.662111801242236,0.5160175474523546,0.8082060550321174
MoCA-CI vs MoCA-CN: Overall: Full sample,Acoustic_Deviation,Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,58,23,35,Leave-one-subject-out cross-validation,0.7627329192546584,0.6340578737380174,0.8914079647712994
MoCA-CI vs MoCA-CN: Overall: Full sample,Combined_Task_Behavior_Acoustic,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT; Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,58,23,35,Leave-one-subject-out cross-validation,0.7031055900621118,0.5638761557881014,0.8423350243361223
MoCA-CI vs MoCA-CN: Drug: Full sample,Behavioral_Task_Z_Deviations,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT,28,15,13,Leave-one-subject-out cross-validation,0.6256410256410256,0.412154473909373,0.8391275773726783
MoCA-CI vs MoCA-CN: Drug: Full sample,Acoustic_Deviation,Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,28,15,13,Leave-one-subject-out cross-validation,0.7743589743589744,0.5907208529812565,0.9579970957366922
MoCA-CI vs MoCA-CN: Drug: Full sample,Combined_Task_Behavior_Acoustic,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT; Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,28,15,13,Leave-one-subject-out cross-validation,0.6205128205128205,0.40642433446395904,0.834601306561682
MoCA-CI vs MoCA-CN: HC: Full sample,Behavioral_Task_Z_Deviations,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT,30,8,22,Leave-one-subject-out cross-validation,0.5454545454545454,0.3167659117709549,0.7741431791381359
MoCA-CI vs MoCA-CN: HC: Full sample,Acoustic_Deviation,Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,30,8,22,Leave-one-subject-out cross-validation,0.6193181818181818,0.3792657097388306,0.859370653897533
MoCA-CI vs MoCA-CN: HC: Full sample,Combined_Task_Behavior_Acoustic,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT; Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,30,8,22,Leave-one-subject-out cross-validation,0.6193181818181818,0.40395511635484116,0.8346812472815224
Drug vs HC: Complete 12 items in all tasks,Behavioral_Task_Z_Deviations,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT,50,23,27,Leave-one-subject-out cross-validation,0.5748792270531401,0.4127536847358311,0.7370047693704491
Drug vs HC: Complete 12 items in all tasks,Acoustic_Deviation,Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,50,23,27,Leave-one-subject-out cross-validation,0.4057971014492754,0.24024408041012418,0.5713501224884265
Drug vs HC: Complete 12 items in all tasks,Combined_Task_Behavior_Acoustic,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT; Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,50,23,27,Leave-one-subject-out cross-validation,0.5169082125603864,0.3509036949539118,0.682912730166861
MoCA-CI vs MoCA-CN: Overall: Complete 12 items in all tasks,Behavioral_Task_Z_Deviations,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT,50,18,32,Leave-one-subject-out cross-validation,0.6180555555555556,0.4546015156932515,0.7815095954178597
MoCA-CI vs MoCA-CN: Overall: Complete 12 items in all tasks,Acoustic_Deviation,Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,50,18,32,Leave-one-subject-out cross-validation,0.7152777777777778,0.5612682053441459,0.8692873502114097
