Analysis,Measure,Column,FDR_Family,Direction,Positive_Group,Negative_Group,Positive_N,Positive_Mean,Positive_SD,Negative_N,Negative_Mean,Negative_SD,Mann_Whitney_U,P_Raw,AUC,AUC_CI_Low_DeLong,AUC_CI_High_DeLong,P_FDR_BH
Drug vs HC: Full sample,Hanzi accuracy Z_dev,Behavior_ZDev__Overall_Accuracy_Hanzi,Traditional Stroop,Lower is worse,Drug,HC,28,-1.5495093192996452,3.9369558725121725,30,-2.054667267213537,3.983327249918246,390.5,0.6516098387634399,0.5351190476190476,0.37984302659607816,0.690395068642017,0.6516098387634399
Drug vs HC: Full sample,Hanzi completion-time Z_dev,Behavior_ZDev__Card_Completion_Time_Hanzi,Traditional Stroop,Higher is worse,Drug,HC,27,-0.35114760423248964,0.9667660706344646,28,-0.06201182227272628,0.8987230170142481,308.0,0.241963398648947,0.4074074074074074,0.25325912865843103,0.5615556861563837,0.3629450979734205
Drug vs HC: Full sample,STT accuracy Z_dev,Behavior_ZDev__Overall_Accuracy_STT,Traditional Stroop,Lower is worse,Drug,HC,28,-1.7376457133942045,2.756223048692967,30,-0.9656830212403337,2.007464680057142,327.0,0.14986926606865938,0.6107142857142858,0.46285848131871926,0.7585700901098522,0.3629450979734205
Drug vs HC: Full sample,STT completion-time Z_dev,Behavior_ZDev__Card_Completion_Time_STT,Traditional Stroop,Higher is worse,Drug,HC,26,-0.08519562970105446,1.1857254022161827,30,-0.3162580745859415,0.9468766582116878,420.0,0.6279248829325761,0.5384615384615384,0.3836794779956978,0.6932435989273791,0.6516098387634399
Drug vs HC: Full sample,Accuracy-interference Z_dev: STT vs Hanzi,Behavior_ZDev__Accuracy_Cost_STT_vs_Hanzi,Traditional Stroop,Higher is worse,Drug,HC,28,0.4965401329464769,3.600712250861845,30,-0.4347419081904143,2.9195553585206198,512.5,0.15211536821702235,0.6101190476190477,0.46049811526376905,0.7597399799743263,0.3629450979734205
Drug vs HC: Full sample,Completion-time-interference Z_dev: STT vs Hanzi,Behavior_ZDev__Completion_Time_Cost_STT_vs_Hanzi,Traditional Stroop,Higher is worse,Drug,HC,25,0.05609764175164455,1.014567672242615,28,-0.31492617848596854,0.8682238481181221,417.0,0.23607352761514078,0.5957142857142858,0.4388014710213964,0.7526271004071752,0.3629450979734205
Drug vs HC: Full sample,Mean |Z_dev|,Mean_Abs_Deviation_Z,Acoustic,Higher is worse,Drug,HC,28,1.206853985357143,0.547507823235262,30,1.0039447344,0.34119025453645907,499.0,0.22189553147773622,0.594047619047619,0.44436158314675084,0.7437336549484872,0.2958607086369816
Drug vs HC: Full sample,RMS Z_dev,RMS_Deviation_Z,Acoustic,Higher is worse,Drug,HC,28,1.5905154600714286,0.7776274430152891,30,1.3292027777666668,0.5388415797107343,503.0,0.1992310304222198,0.5988095238095238,0.450238187658631,0.7473808599604166,0.2958607086369816
Drug vs HC: Full sample,"N_abn,1.96",N_Features_AbsZ_GE_1_96,Acoustic,Higher is worse,Drug,HC,28,3.8214285714285716,3.600962540339905,30,3.066666666666667,3.016430104397024,478.5,0.3620467656123737,0.5696428571428571,0.4208279773303685,0.7184577369553458,0.3620467656123737
Drug vs HC: Full sample,"N_abn,2.58",N_Features_AbsZ_GE_2_58,Acoustic,Higher is worse,Drug,HC,28,2.75,2.9767618499152917,30,1.7,1.967844961653089,504.5,0.17737061033354995,0.6005952380952381,0.45646206764668495,0.7447284085437912,0.2958607086369816
MoCA-CI vs MoCA-CN: Overall: Full sample,Hanzi accuracy Z_dev,Behavior_ZDev__Overall_Accuracy_Hanzi,Traditional Stroop,Lower is worse,MoCA-CI,MoCA-CN,23,-0.7636787916322642,2.3908996603011605,35,-2.498904764264403,4.585058805320807,392.5,0.8799005433028612,0.5124223602484472,0.36070679163584274,0.6641379288610517,1.0
MoCA-CI vs MoCA-CN: Overall: Full sample,Hanzi completion-time Z_dev,Behavior_ZDev__Card_Completion_Time_Hanzi,Traditional Stroop,Higher is worse,MoCA-CI,MoCA-CN,22,-0.14378351823679206,1.0838378199040657,33,-0.24406299808194332,0.8377073741787646,363.0,1.0,0.5,0.3287251444764454,0.6712748555235546,1.0
