Analysis_Set,Measure,Column,FDR_Family,Direction,WD_CI_N,WD_CI_Mean,WD_CI_SD,WD_CN_N,WD_CN_Mean,WD_CN_SD,Mann_Whitney_U,P_Raw,AUC,AUC_CI_Low_DeLong,AUC_CI_High_DeLong,P_FDR_BH
Full sample,Hanzi accuracy Z_dev,Behavior_ZDev__Overall_Accuracy_Hanzi,Behavioral task deviation,Lower is worse,12,-2.778384503931656,4.788434706274045,31,-0.7104923248358272,2.661652182846895,159.0,0.4727307925529318,0.5725806451612904,0.360096009566358,0.7850652807562227,0.6946079131853408
Full sample,Dots accuracy Z_dev,Behavior_ZDev__Overall_Accuracy_Dots,Behavioral task deviation,Lower is worse,12,-3.2738357330977315,3.4387030959880143,31,-0.9939205331566215,2.1428321658622047,108.0,0.03578328781853492,0.7096774193548387,0.5348349559334272,0.8845198827762503,0.10734986345560475
Full sample,STT accuracy Z_dev,Behavior_ZDev__Overall_Accuracy_STT,Behavioral task deviation,Lower is worse,12,-3.4280407203798267,2.3539084692836783,31,-0.6861038152956147,2.3067252125872764,50.5,0.0002553348116613581,0.864247311827957,0.7505360495453803,0.9779585741105337,0.0015320088699681486
Full sample,Hanzi hesitation Z_dev,Behavior_ZDev__Total_Hesitation_Duration_Hanzi,Behavioral task deviation,Higher is worse,12,0.09314553769005263,0.7623893434661396,31,0.5715296233993471,1.5017724863365915,157.0,0.4403035261486662,0.4220430107526882,0.22982364268677014,0.6142623788186062,0.6946079131853408
Full sample,Dots hesitation Z_dev,Behavior_ZDev__Total_Hesitation_Duration_Dots,Behavioral task deviation,Higher is worse,12,0.05989754293466082,0.651323004766629,31,0.2232854295018621,0.869588118713016,171.0,0.6946079131853408,0.4596774193548387,0.2728368495581467,0.6465179891515307,0.6946079131853408
Full sample,STT hesitation Z_dev,Behavior_ZDev__Total_Hesitation_Duration_STT,Behavioral task deviation,Higher is worse,12,0.2558354408843628,0.7935947517998158,31,0.3753621275037171,0.8233329248279663,171.0,0.6946079131853408,0.4596774193548387,0.25973933064771504,0.6596155080619623,0.6946079131853408
Full sample,Mean |Z_dev|,Mean_Abs_Deviation_Z,Acoustic,Higher is worse,12,1.2120279483594858,0.7058693296359407,31,0.6186825758746904,0.21202431007454736,307.0,0.0011034832074615997,0.8252688172043011,0.6773716317767435,0.9731660026318587,0.0021219607301004332
Full sample,RMS Z_dev,RMS_Deviation_Z,Acoustic,Higher is worse,12,1.724607330928169,1.3663422194052741,31,0.7889276750620224,0.3084133928271835,309.0,0.0009103083513311335,0.8306451612903226,0.6882720854274383,0.9730182371532069,0.0021219607301004332
Full sample,"N_abn,1.96",N_Features_AbsZ_GE_1_96,Acoustic,Higher is worse,12,3.9166666666666665,3.528026317499587,31,0.8387096774193549,1.5726151085277962,289.5,0.0021219607301004332,0.7782258064516129,0.6116181515211796,0.9448334613820462,0.0021219607301004332
Full sample,"N_abn,2.58",N_Features_AbsZ_GE_2_58,Acoustic,Higher is worse,12,2.9166666666666665,3.3967453227875044,31,0.41935483870967744,1.2321848765069605,275.0,0.0017703251015639475,0.739247311827957,0.5780017208592821,0.9004929027966319,0.0021219607301004332
Complete 12 items in all tasks,Hanzi accuracy Z_dev,Behavior_ZDev__Overall_Accuracy_Hanzi,Behavioral task deviation,Lower is worse,8,-1.437076751013185,4.134196490120225,29,-0.46120502184798096,2.2794893806029464,116.0,1.0,0.5,0.26394072494031495,0.736059275059685,1.0
Complete 12 items in all tasks,Dots accuracy Z_dev,Behavior_ZDev__Overall_Accuracy_Dots,Behavioral task deviation,Lower is worse,8,-1.3315210816405496,1.829446245741913,29,-0.6321122069179728,1.655176370680182,85.0,0.26013765838898595,0.6336206896551724,0.42050439281445046,0.8467369864958942,0.7736085006140629
Complete 12 items in all tasks,STT accuracy Z_dev,Behavior_ZDev__Overall_Accuracy_STT,Behavioral task deviation,Lower is worse,8,-2.2586830275304766,1.965010391191654,29,-0.7410239733022862,2.3775248133086735,41.0,0.005958351926988238,0.8232758620689655,0.6820380399175873,0.9645136842203438,0.03575011156192943
Complete 12 items in all tasks,Hanzi hesitation Z_dev,Behavior_ZDev__Total_Hesitation_Duration_Hanzi,Behavioral task deviation,Higher is worse,8,0.16857251154287578,0.6143552695684377,29,0.6057182924066403,1.548285927490234,101.0,0.5926762188575301,0.4353448275862069,0.2264352567898118,0.644254398382602,0.7736085006140629
Complete 12 items in all tasks,Dots hesitation Z_dev,Behavior_ZDev__Total_Hesitation_Duration_Dots,Behavioral task deviation,Higher is worse,8,-0.013690447923728283,0.7365626652326511,29,0.23946838899717013,0.8944348865765359,97.0,0.4948990960180365,0.41810344827586204,0.19569611440744605,0.640510782144278,0.7736085006140629
Complete 12 items in all tasks,STT hesitation Z_dev,Behavior_ZDev__Total_Hesitation_Duration_STT,Behavioral task deviation,Higher is worse,8,0.50680488839235,0.7553249108483994,29,0.37205189991528864,0.8492310482918116,129.0,0.6446737505117192,0.5560344827586207,0.32548988578247,0.7865790797347714,0.7736085006140629
Complete 12 items in all tasks,Mean |Z_dev|,Mean_Abs_Deviation_Z,Acoustic,Higher is worse,8,1.2363892655210516,0.759396373125042,29,0.623179909785788,0.217273275454345,194.0,0.0042460515864213184,0.8362068965517241,0.66966041922178,1.0,0.008492103172842637
Complete 12 items in all tasks,RMS Z_dev,RMS_Deviation_Z,Acoustic,Higher is worse,8,1.800370152480821,1.579888300451575,29,0.7966635565680484,0.31605206960195115,194.0,0.0042460515864213184,0.8362068965517241,0.675883277074513,0.9965305160289352,0.008492103172842637
Complete 12 items in all tasks,"N_abn,1.96",N_Features_AbsZ_GE_1_96,Acoustic,Higher is worse,8,3.875,3.6815175442433286,29,0.896551724137931,1.6112290691582292,177.5,0.012629263008905843,0.7650862068965517,0.5565032745317584,0.973669139261345,0.01683901734520779
Complete 12 items in all tasks,"N_abn,2.58",N_Features_AbsZ_GE_2_58,Acoustic,Higher is worse,8,2.625,3.3779748793788102,29,0.4482758620689655,1.2701576644695878,162.0,0.019710327769097775,0.6982758620689655,0.4931338423234115,0.9034178818145195,0.019710327769097775
